module,function,timing,time
[PDCP],nr_pdcp_data_req_drb,end,5355591761 
[SDAP],nr_sdap_tx_entity,end,5355591762 
[SDAP],sdap_data_req,end,5355591764 
[SDAP],sdap_data_req,start,5355591768 
[SDAP],nr_sdap_tx_entity,start,5355591770 
[PDCP],nr_pdcp_data_req_drb,start,5355591772 
[PDCP],deliver_pdu_drb_gnb,start,5355591774 
[PDCP],enqueue_rlc_data_req,start,5355591815 
[PDCP],enqueue_rlc_data_req,end,5355591816 
[PDCP],deliver_pdu_drb_gnb,end,5355591818 
[PDCP],nr_pdcp_data_req_drb,end,5355591820 
[SDAP],nr_sdap_tx_entity,end,5355591821 
[SDAP],sdap_data_req,end,5355591823 
[SDAP],sdap_data_req,start,5355591827 
[SDAP],nr_sdap_tx_entity,start,5355591829 
[PDCP],nr_pdcp_data_req_drb,start,5355591830 
[PDCP],deliver_pdu_drb_gnb,start,5355591832 
[PDCP],enqueue_rlc_data_req,start,5355591834 
[PDCP],enqueue_rlc_data_req,end,5355591836 
[PDCP],deliver_pdu_drb_gnb,end,5355591838 
[PDCP],nr_pdcp_data_req_drb,end,5355591867 
[SDAP],nr_sdap_tx_entity,end,5355591869 
[SDAP],sdap_data_req,end,5355591871 
[SDAP],sdap_data_req,start,5355591874 
[SDAP],nr_sdap_tx_entity,start,5355591876 
[PDCP],nr_pdcp_data_req_drb,start,5355591878 
[PDCP],deliver_pdu_drb_gnb,start,5355591902 
[PDCP],enqueue_rlc_data_req,start,5355591912 
[PDCP],enqueue_rlc_data_req,end,5355591914 
[PDCP],deliver_pdu_drb_gnb,end,5355591916 
[PDCP],nr_pdcp_data_req_drb,end,5355591918 
[SDAP],nr_sdap_tx_entity,end,5355591919 
[SDAP],sdap_data_req,end,5355591921 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355592035 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355592041 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355592045 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355592050 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355592053 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355592058 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355592062 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355592332 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355592435 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355592440 
[RLC],generate_tx_pdu,start,5355592443 
[RLC],serialize_sdu,start,5355592447 
[RLC],serialize_sdu,end,5355592514 
[RLC],generate_tx_pdu,end,5355592516 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355592522 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355592524 
[RLC],generate_tx_pdu,start,5355592525 
[RLC],serialize_sdu,start,5355592527 
[RLC],serialize_sdu,end,5355592529 
[RLC],generate_tx_pdu,end,5355592531 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355592533 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355592534 
[RLC],generate_tx_pdu,start,5355592536 
[RLC],serialize_sdu,start,5355592537 
[RLC],serialize_sdu,end,5355592539 
[RLC],generate_tx_pdu,end,5355592541 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355592543 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355592544 
[RLC],generate_tx_pdu,start,5355592546 
[RLC],serialize_sdu,start,5355592548 
[RLC],serialize_sdu,end,5355592550 
[RLC],generate_tx_pdu,end,5355592552 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355592553 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355592555 
[RLC],generate_tx_pdu,start,5355592557 
[RLC],serialize_sdu,start,5355592558 
[RLC],serialize_sdu,end,5355592577 
[RLC],generate_tx_pdu,end,5355592579 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355592581 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355592650 
[RLC],generate_tx_pdu,start,5355592652 
[RLC],serialize_sdu,start,5355592653 
[RLC],serialize_sdu,end,5355592730 
[RLC],generate_tx_pdu,end,5355592732 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355592736 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355592739 
[RLC],generate_tx_pdu,start,5355592743 
[RLC],serialize_sdu,start,5355592746 
[RLC],serialize_sdu,end,5355592750 
[RLC],generate_tx_pdu,end,5355592777 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355592780 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355592782 
[RLC],generate_tx_pdu,start,5355592787 
[RLC],serialize_sdu,start,5355592790 
[RLC],serialize_sdu,end,5355592794 
[RLC],generate_tx_pdu,end,5355592798 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355594817 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355594838 
[RLC],generate_tx_pdu,start,5355594841 
[RLC],serialize_sdu,start,5355594846 
[RLC],serialize_sdu,end,5355594852 
[RLC],generate_tx_pdu,end,5355594855 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355594859 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355594861 
[RLC],generate_tx_pdu,start,5355594863 
[RLC],serialize_sdu,start,5355594865 
[RLC],serialize_sdu,end,5355594868 
[RLC],generate_tx_pdu,end,5355594871 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355594873 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355594875 
[RLC],generate_tx_pdu,start,5355594878 
[RLC],serialize_sdu,start,5355594880 
[RLC],serialize_sdu,end,5355594883 
[RLC],generate_tx_pdu,end,5355594885 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355594888 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355594891 
[RLC],generate_tx_pdu,start,5355594893 
[RLC],serialize_sdu,start,5355594895 
[RLC],serialize_sdu,end,5355594899 
[RLC],generate_tx_pdu,end,5355594901 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355594903 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355594905 
[RLC],generate_tx_pdu,start,5355594908 
[RLC],serialize_sdu,start,5355594910 
