module,function,timing,time
[RLC],rlc_data_req,start,162971820 
[RLC],nr_rlc_entity_am_recv_sdu,start,162971828 
[RLC],nr_rlc_entity_am_recv_sdu,end,162971835 
[RLC],rlc_data_req,end,162971841 
[RLC],rlc_data_req_thread,end,162971847 
[RLC],nr_rlc_entity_am_generate_pdu,start,162972130 
[RLC],nr_rlc_entity_am_generate_pdu,end,162972140 
[RLC],generate_tx_pdu,start,162972146 
[RLC],serialize_sdu,start,162972152 
[RLC],serialize_sdu,end,162972158 
[RLC],generate_tx_pdu,end,162972163 
[SDAP],sdap_data_req,start,163149486 
[SDAP],nr_sdap_tx_entity,start,163149728 
[PDCP],nr_pdcp_data_req_drb,start,163149841 
[PDCP],deliver_pdu_drb_gnb,start,163149891 
[PDCP],enqueue_rlc_data_req,start,163149901 
[PDCP],enqueue_rlc_data_req,end,163149910 
[RLC],rlc_data_req_thread,start,163149916 
[PDCP],deliver_pdu_drb_gnb,end,163149933 
[RLC],rlc_data_req,start,163149955 
[PDCP],nr_pdcp_data_req_drb,end,163149974 
[RLC],nr_rlc_entity_am_recv_sdu,start,163149986 
[SDAP],nr_sdap_tx_entity,end,163150011 
[RLC],nr_rlc_entity_am_recv_sdu,end,163150023 
[SDAP],sdap_data_req,end,163150035 
[RLC],rlc_data_req,end,163150046 
[RLC],rlc_data_req_thread,end,163150069 
[RLC],nr_rlc_entity_am_generate_pdu,start,163150626 
[RLC],nr_rlc_entity_am_generate_pdu,end,163150677 
[RLC],generate_tx_pdu,start,163150683 
[RLC],serialize_sdu,start,163150690 
[RLC],serialize_sdu,end,163150696 
[RLC],generate_tx_pdu,end,163150702 
[SDAP],sdap_data_req,start,163328550 
[SDAP],nr_sdap_tx_entity,start,163328644 
[PDCP],nr_pdcp_data_req_drb,start,163328654 
[PDCP],deliver_pdu_drb_gnb,start,163328662 
[PDCP],enqueue_rlc_data_req,start,163328672 
[PDCP],enqueue_rlc_data_req,end,163328681 
[PDCP],deliver_pdu_drb_gnb,end,163328722 
[PDCP],nr_pdcp_data_req_drb,end,163328749 
[SDAP],nr_sdap_tx_entity,end,163328756 
[SDAP],sdap_data_req,end,163328800 
[RLC],rlc_data_req_thread,start,163328808 
[RLC],rlc_data_req,start,163329097 
[RLC],nr_rlc_entity_am_recv_sdu,start,163329105 
[RLC],nr_rlc_entity_am_recv_sdu,end,163329112 
[RLC],rlc_data_req,end,163329118 
[RLC],rlc_data_req_thread,end,163329123 
[RLC],nr_rlc_entity_am_generate_pdu,start,163329342 
[RLC],nr_rlc_entity_am_generate_pdu,end,163329360 
[RLC],generate_tx_pdu,start,163329377 
[RLC],serialize_sdu,start,163329384 
[RLC],serialize_sdu,end,163329391 
[RLC],generate_tx_pdu,end,163329396 
[SDAP],sdap_data_req,start,163505840 
